,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
386,cayenne,40,GF,1587240681,70,4.93,-52.33,84.2,11.41
387,vestmanna,0,FO,1587240086,81,62.16,-7.17,42.8,13.87
388,belton,1,US,1587240681,41,38.81,-94.53,63.0,16.11
389,akdepe,1,TM,1587240681,39,42.06,59.38,62.6,9.17
390,myskhako,71,RU,1587240681,93,44.67,37.74,44.6,4.47
391,acarau,38,BR,1587240682,83,-2.89,-40.12,78.71,3.56
392,davila,94,PH,1587240682,76,18.47,120.58,80.06,5.61
393,huesca,75,ES,1587240682,72,42.14,-0.41,62.6,8.05
394,tadine,75,NC,1587240682,69,-21.55,167.88,77.36,8.72
395,zyryanka,100,RU,1587240682,92,65.75,150.85,-0.22,20.56
396,grants,40,US,1587240683,17,35.15,-107.85,60.8,17.22
397,puerto madryn,20,ES,1587240683,82,36.59,-6.23,64.99,8.05
398,soyaux,100,FR,1587240683,82,45.65,0.2,57.99,10.29
399,tura,10,IN,1587240683,75,25.52,90.22,66.11,2.73
400,northam,67,GB,1587240683,90,51.03,-4.22,53.01,1.01
401,high level,1,US,1587240683,59,33.61,-95.75,63.0,12.75
402,vao,74,NC,1587240684,69,-22.67,167.48,75.69,10.04
403,aksarka,100,RU,1587240684,97,66.56,67.8,32.07,1.45
404,hovd,0,MN,1587240684,41,48.01,91.64,33.98,2.66
405,visnes,0,NO,1587240684,81,59.36,5.22,44.6,9.17
406,yulara,32,AU,1587240684,45,-25.24,130.99,66.2,6.93
407,tucupita,56,VE,1587240684,39,9.06,-62.05,91.11,9.37
408,skjervoy,100,NO,1587240684,89,70.03,20.97,39.94,18.63
409,biak,14,ID,1587240685,77,-0.91,122.88,79.84,2.73
410,cururupu,95,BR,1587240685,88,-1.83,-44.87,78.84,4.0
411,tigil,100,RU,1587240685,96,57.8,158.67,26.13,10.2
412,taltal,26,CL,1587240685,67,-25.4,-70.48,67.51,4.92
413,gainesville,90,US,1587240685,94,29.65,-82.32,75.0,5.82
414,pokhara,35,NP,1587240686,34,28.23,83.98,62.33,4.09
415,merauke,100,ID,1587240686,89,-8.47,140.33,76.98,9.26
416,guilin,75,CN,1587240686,100,25.28,110.29,68.0,4.47
417,riverton,40,US,1587240686,47,40.52,-111.94,59.0,6.93
418,borgarnes,90,IS,1587240686,93,64.54,-21.92,43.0,9.17
419,mongoumba,78,CF,1587240686,78,3.64,18.59,73.67,2.71
420,santarem,20,BR,1587240687,74,-2.44,-54.71,86.0,9.17
421,pemberton,20,CA,1587240658,36,50.32,-122.8,60.8,0.76
422,edinet,41,MD,1587240687,40,48.17,27.3,48.0,6.42
423,ovsyanka,1,RU,1587240687,79,55.96,92.55,28.4,4.27
424,kokopo,84,PG,1587240604,78,-4.35,152.26,79.36,3.58
425,turukhansk,100,RU,1587240688,79,65.82,87.98,37.63,15.48
426,praya,20,CV,1587240688,57,14.92,-23.51,75.2,21.92
427,lakes entrance,40,US,1587240688,54,61.61,-149.31,53.6,3.36
428,torrington,99,US,1587240688,83,41.8,-73.12,41.0,1.99
429,saraza,40,PH,1587240689,76,8.74,117.78,81.28,6.33
430,mujiayingzi,100,CN,1587240442,40,42.12,118.78,48.6,5.93
431,salinopolis,98,BR,1587240689,78,-0.61,-47.36,81.07,5.37
432,benghazi,0,LY,1587240689,67,32.12,20.07,61.83,12.64
433,syamzha,98,RU,1587240690,98,60.02,41.06,27.88,3.51
434,lata,29,PT,1587240690,80,40.16,-8.33,60.01,1.99
435,libertador general san martin,84,VE,1587240690,29,8.03,-62.42,91.17,5.61
436,karratha,100,AU,1587240690,60,-20.74,116.85,82.06,8.84
437,goya,0,AR,1587240483,47,-29.14,-59.26,74.48,5.01
438,ribeirao branco,40,BR,1587240690,70,-8.51,-35.38,86.0,8.05
439,namatanai,95,PG,1587240691,77,-3.67,152.43,81.72,4.21
440,cockburn town,40,AU,1587240691,57,-32.08,141.0,50.0,4.7
441,sabang,76,ID,1587240691,72,5.89,95.32,82.44,3.29
442,havre-saint-pierre,20,CA,1587240691,51,50.23,-63.6,35.6,13.87
443,de-kastri,99,RU,1587240691,94,51.47,140.78,27.3,9.75
444,whitecourt,20,CA,1587240691,48,54.15,-115.69,39.2,2.24
445,husavik,90,IS,1587240578,75,66.04,-17.34,46.4,44.96
446,katsuura,9,JP,1587240692,72,35.13,140.3,57.99,1.99
447,koygorodok,100,RU,1587240692,93,60.45,51.0,34.38,4.05
448,chaiyaphum,88,TH,1587240692,58,15.75,102.0,82.53,3.76
449,aswan,6,EG,1587240692,23,24.09,32.91,71.06,8.25
450,stephenville,90,US,1587240487,59,32.22,-98.2,63.0,3.36
451,xuddur,100,SO,1587240693,61,4.12,43.89,79.9,15.48
452,hamilton,75,US,1587240399,47,39.18,-84.53,55.99,6.93
453,bad neustadt,100,DE,1587240693,41,47.63,9.83,55.0,3.0
454,caldas novas,40,CO,1587240693,61,6.09,-75.64,77.0,13.87
455,tomakomai,75,JP,1587240693,93,42.64,141.6,45.0,3.36
456,george,0,ZA,1587240694,55,-33.96,22.46,62.6,2.24
457,cochrane,90,CA,1587240694,69,51.18,-114.47,36.0,4.76
458,bhandaria,23,BD,1587240694,89,22.49,90.06,76.98,6.06
459,wonthaggi,72,AU,1587240694,97,-38.6,145.59,52.0,3.4
460,bonavista,97,CA,1587240694,50,48.65,-53.11,37.99,10.0
461,huambo,99,AO,1587240695,58,-12.78,15.74,59.58,3.13
462,meulaboh,61,ID,1587240695,83,4.14,96.13,78.67,4.43
463,sterling,75,US,1587240695,43,39.01,-77.43,53.01,24.16
464,krasnoselkup,100,RU,1587240695,85,65.7,82.47,37.29,21.0
465,bontang,90,ID,1587240484,83,0.13,117.5,79.02,6.08
466,cabacungan,21,PH,1587240695,78,10.32,123.13,75.99,5.01
467,cortland,75,US,1587240459,45,42.6,-76.08,42.8,9.17
468,akyab,15,MM,1587240696,87,20.15,92.9,75.38,3.69
469,rio cuarto,0,GR,1587240696,87,38.3,21.78,57.2,1.14
470,agirish,100,RU,1587240696,91,61.92,63.02,36.73,9.33
471,sibu,75,MY,1587240696,94,2.3,111.82,77.0,2.24
472,asfi,39,MA,1587240697,80,32.3,-9.24,62.96,8.21
473,ushtobe,0,KZ,1587240697,42,45.25,77.98,53.2,4.63
474,shimoda,0,JP,1587240697,80,34.67,138.95,51.01,5.01
475,aketi,74,CD,1587240697,80,2.74,23.78,72.03,1.54
476,marrakesh,75,MA,1587240697,56,31.63,-8.01,68.0,16.11
477,bani walid,29,DO,1587240506,73,18.28,-70.33,84.99,5.01
478,beja,20,TN,1587240698,100,36.73,9.18,73.4,3.36
479,sao filipe,23,IN,1587240698,23,20.51,76.21,83.44,0.56
480,thornbury,93,GB,1587240698,82,52.23,-2.55,48.0,7.05
481,gazojak,0,TM,1587240698,28,41.19,61.4,67.8,12.37
482,belaya kholunitsa,98,UA,1587240698,32,49.03,25.77,46.99,3.0
483,nakamura,93,JP,1587240699,84,32.98,132.93,50.22,4.45
484,kenai,90,US,1587240699,93,60.55,-151.26,43.0,5.82
485,hinova,28,RO,1587240699,59,44.54,22.78,59.49,2.46
486,benjamin aceval,75,US,1587240699,43,40.1,-111.73,55.4,4.7
487,dergachi,14,RU,1587240700,87,51.23,48.77,39.87,8.84
488,sisimiut,100,GL,1587240700,92,66.94,-53.67,23.9,2.13
489,mouila,98,GA,1587240700,89,-1.87,11.06,75.09,1.63
490,ukiah,90,US,1587240700,66,39.15,-123.21,55.99,4.7
491,ruma,4,RS,1587240700,51,45.01,19.82,66.2,2.24
492,grindavik,90,IS,1587240516,100,63.84,-22.43,37.4,11.41
493,svilengrad,4,BG,1587240701,62,41.77,26.2,59.59,2.42
494,samarai,99,PG,1587240701,80,-10.62,150.67,80.65,1.41
495,san ignacio de sabaneta,98,ML,1587240526,17,13.3,-4.9,97.3,7.0
496,leh,75,IN,1587240657,19,34.17,77.58,32.9,4.59
497,yar-sale,99,RU,1587240701,98,66.83,70.83,34.52,9.15
498,price,75,US,1587240668,53,39.6,-110.81,54.0,8.05
499,campo grande,40,PT,1587240701,87,41.19,-8.46,57.99,8.05
500,lufilufi,55,WS,1587240702,78,-13.87,-171.6,84.15,19.84
501,birjand,20,IR,1587240702,76,32.87,59.22,53.6,13.87
502,dourbali,88,TD,1587240702,10,11.81,15.86,87.71,10.13
503,hami,100,CN,1587240487,21,42.8,93.45,62.38,11.95
504,kimberley,34,ZA,1587240702,72,-28.73,24.76,64.4,13.87
505,nemuro,100,JP,1587240429,79,43.32,145.57,40.14,9.24
506,tamandare,88,BR,1587240702,77,-8.76,-35.1,82.02,8.75
507,kidal,2,ML,1587240703,9,18.44,1.41,90.97,7.63
508,kijang,75,KR,1587240683,81,35.24,129.21,51.8,6.93
509,manzhouli,45,CN,1587240703,69,49.6,117.43,30.4,13.35
510,rio gallegos,0,GR,1587240684,87,38.3,21.78,57.2,1.14
511,kristiansund,0,NO,1587240703,86,63.11,7.73,42.8,3.36
512,lazarev,84,RU,1587240703,94,52.23,141.51,22.86,6.91
513,nguru,43,NG,1587240703,11,12.88,10.45,82.13,7.74
514,ibra,58,OM,1587240704,36,22.69,58.53,79.81,5.12
515,abu dhabi,63,IN,1587240704,38,24.6,72.7,66.76,3.6
516,beaufort,75,MY,1587240704,94,5.35,115.75,78.8,3.76
517,hervey bay,1,US,1587240704,48,33.5,-93.78,64.99,8.05
518,olenino,99,RU,1587240704,84,56.21,33.49,33.24,7.52
519,lichinga,4,MZ,1587240704,70,-13.31,35.24,59.56,5.84
520,boa vista,99,CM,1587240705,84,4.43,8.97,79.65,4.81
521,khor,0,RU,1587240705,76,47.89,134.95,44.01,4.59
522,boyolangu,100,ID,1587240705,83,-8.12,111.89,76.75,2.04
523,baoning,75,CN,1587240706,100,25.34,110.03,68.0,4.47
524,mayo,75,US,1587240706,53,38.89,-76.51,54.0,24.16
525,kisumu,75,KE,1587240706,93,-0.1,34.76,66.2,5.82
526,kudat,75,MY,1587240606,88,6.88,116.85,80.6,1.12
527,haverfordwest,98,GB,1587240706,81,51.8,-4.97,53.01,8.05
528,sargatskoye,100,RU,1587240706,64,55.61,73.5,52.38,2.95
529,sur,28,OM,1587240707,57,22.57,59.53,82.44,6.85
530,vanimo,100,PG,1587240625,80,-2.67,141.3,80.37,4.59
531,deputatskiy,58,RU,1587240555,72,69.3,139.9,-9.35,1.99
532,esfarayen,7,IR,1587240707,71,37.08,57.51,51.8,6.93
533,ust-kuyga,78,RU,1587240707,81,70.02,135.6,-3.95,3.65
534,luan,65,CH,1587240707,76,46.36,6.98,52.0,3.29
535,kautokeino,92,NO,1587240707,82,69.01,23.04,32.59,7.58
536,tambura,78,SS,1587240707,65,5.6,27.47,72.64,2.84
537,madison,1,US,1587240529,54,34.73,-86.57,60.01,5.82
538,mercedes,0,AR,1587240708,36,-34.65,-59.43,81.0,1.99
539,sept-iles,75,CA,1587240708,69,50.2,-66.38,33.8,10.29
540,flagstaff,40,US,1587240709,37,35.2,-111.65,53.01,14.99
541,kamenka,0,RU,1587240709,82,51.32,42.77,35.01,3.0
542,tevaitoa,22,PF,1587240709,73,-16.78,-151.5,83.61,8.7
543,gladstone,75,AU,1587240709,88,-23.85,151.25,75.2,3.36
544,san cristobal,98,ML,1587240544,17,13.3,-4.9,97.3,7.0
545,luganville,40,VU,1587240709,94,-15.53,167.17,73.4,4.68
546,katima mulilo,100,SL,1587240709,76,8.47,-12.01,79.39,6.82
